STATE,CNFMD,ACTV,RCVRD,DCSD,Long,Lat
Maharashtra,11506,760,56,52,75.476174,19.372972
Tamil Nadu,2526,602,13,5,78.761857,11.733581
Delhi,3738,502,16,7,77.195928,28.633404
Kerala,327,266,59,2,76.801985,9.557864
Telangana,1044,320,33,11,79.197004,18.010511
Uttar Pradesh,2328,281,21,3,79.778971,28.281948
Andhra Pradesh,1525,295,5,3,79.009928,15.386758
Rajasthan,2678,274,25,2,73.604654,26.565743
Madhya Pradesh,2715,230,11,15,78.065104,23.560776
Karnataka,598,139,20,4,75.663239,14.402114
Gujarat,4721,112,22,12,71.818024,23.230638
Jammu and Kashmir,639,103,4,2,76.41031,33.641507
Haryana,357,79,29,2,76.014802,28.969118
Punjab,585,68,4,7,75.026032,30.039989
West Bengal,795,64,10,6,87.309019,22.917099
Bihar,466,22,9,1,86.09989,25.513437
Assam,43,26,-,-,92.577127,26.413532
Uttarakhand,57,27,24,-,79.153955,29.874649
Odisha,154,38,2,-,84.291315,20.26575
Chandigarh,88,13,5,-,76.765587,30.733882
Ladakh,22,11,3,-,78.648478,34.618057
Himachal Pradesh,40,15,1,2,77.069489,31.699562
Andaman And Nicobar Islands,33,10,-,-,92.798869,12.595569
Chhattisgarh,43,2,8,-,81.952018,21.996046
Goa,7,7,-,-,74.063834,15.349901
Puducherry,8,5,-,-,79.81696,11.944187
Jharkhand,133,4,-,-,84.358024,23.349336
Manipur,2,1,1,-,93.577336,24.431356
Arunachal Pradesh,1,1,-,-,94.038762,28.424458
Mizoram,1,1,-,-,92.759262,23.346645
Tripura,2,1,,,91.682602,23.608642
Dadra And Nagar Haveli,1,1,,,73.042848,20.171894
